date,open,high,low,close,year,month,day,day_name
2004-11-10,1.2898,1.3008,1.2852,1.2879,2004.0,11.0,10.0,Wednesday
2004-11-11,1.288,1.2924,1.2859,1.2917,2004.0,11.0,11.0,Thursday
2004-11-12,1.2918,1.3,1.2876,1.2975,2004.0,11.0,12.0,Friday
2004-11-15,1.2974,1.2996,1.2919,1.2942,2004.0,11.0,15.0,Monday
2004-11-16,1.2941,1.2997,1.2924,1.2966,2004.0,11.0,16.0,Tuesday
2004-11-17,1.2965,1.305,1.2963,1.3037,2004.0,11.0,17.0,Wednesday
2004-11-18,1.3036,1.3075,1.2942,1.2958,2004.0,11.0,18.0,Thursday
2004-11-19,1.2957,1.3071,1.2948,1.3037,2004.0,11.0,19.0,Friday
2004-11-22,1.3036,1.3054,1.2979,1.2996,2004.0,11.0,22.0,Monday
2004-11-23,1.2997,1.3108,1.2988,1.3093,2004.0,11.0,23.0,Tuesday
2004-11-24,1.3092,1.3192,1.3087,1.3181,2004.0,11.0,24.0,Wednesday
2004-11-25,1.3182,1.3295,1.3169,1.3289,2004.0,11.0,25.0,Thursday
2004-11-26,1.3288,1.3331,1.3186,1.3265,2004.0,11.0,26.0,Friday
2004-11-29,1.3266,1.3307,1.3232,1.3274,2004.0,11.0,29.0,Monday
2004-11-30,1.3275,1.3338,1.3234,1.3309,2004.0,11.0,30.0,Tuesday
2004-12-01,1.3308,1.3375,1.3277,1.3363,2004.0,12.0,1.0,Wednesday
2004-12-02,1.3362,1.3385,1.3239,1.3285,2004.0,12.0,2.0,Thursday
2004-12-03,1.3284,1.3462,1.3261,1.3448,2004.0,12.0,3.0,Friday
2004-12-06,1.3447,1.3457,1.3391,1.3423,2004.0,12.0,6.0,Monday
2004-12-07,1.3422,1.347,1.3342,1.3361,2004.0,12.0,7.0,Tuesday
2004-12-08,1.3359999999999999,1.3379,1.3196,1.331,2004.0,12.0,8.0,Wednesday
2004-12-09,1.3308,1.3357,1.3226,1.3227,2004.0,12.0,9.0,Thursday
2004-12-10,1.3228,1.329,1.3143,1.3281,2004.0,12.0,10.0,Friday
2004-12-13,1.328,1.3328,1.3244,1.3293,2004.0,12.0,13.0,Monday
2004-12-14,1.3292,1.334,1.3262,1.3307,2004.0,12.0,14.0,Tuesday
2004-12-15,1.3306,1.3444,1.3304,1.341,2004.0,12.0,15.0,Wednesday
2004-12-16,1.3409,1.3431,1.3205,1.3265,2004.0,12.0,16.0,Thursday
2004-12-17,1.3264,1.3341,1.3229,1.3324,2004.0,12.0,17.0,Friday
2004-12-20,1.3325,1.3411,1.3322,1.3392,2004.0,12.0,20.0,Monday
2004-12-21,1.3393,1.341,1.3346,1.3356,2004.0,12.0,21.0,Tuesday
2004-12-22,1.3355,1.344,1.3347,1.3433,2004.0,12.0,22.0,Wednesday
2004-12-23,1.3432,1.3519999999999999,1.3425,1.3501,2004.0,12.0,23.0,Thursday
2004-12-24,1.3502,1.355,1.3487,1.354,2004.0,12.0,24.0,Friday
2004-12-27,1.3541,1.3642,1.3526,1.36,2004.0,12.0,27.0,Monday
2004-12-28,1.3601,1.3646,1.3568,1.3611,2004.0,12.0,28.0,Tuesday
2004-12-29,1.361,1.365,1.3559,1.3634,2004.0,12.0,29.0,Wednesday
2004-12-30,1.3635,1.3667,1.3577,1.3627,2004.0,12.0,30.0,Thursday
2004-12-31,1.3626,1.3662,1.3514,1.3555,2004.0,12.0,31.0,Friday
2005-01-03,1.3555,1.3576,1.3441,1.3487,2005.0,1.0,3.0,Monday
2005-01-04,1.3486,1.3497,1.3252,1.3268,2005.0,1.0,4.0,Tuesday
2005-01-05,1.3269,1.3303,1.3216,1.3261,2005.0,1.0,5.0,Wednesday
2005-01-06,1.3262,1.3272,1.3158,1.3198,2005.0,1.0,6.0,Thursday
2005-01-07,1.3197,1.3251,1.3028,1.3081,2005.0,1.0,7.0,Friday
2005-01-10,1.3082,1.3137,1.3061,1.3134,2005.0,1.0,10.0,Monday
2005-01-11,1.3133,1.3173,1.3103,1.3114,2005.0,1.0,11.0,Tuesday
2005-01-12,1.3115,1.3295,1.3084,1.3255,2005.0,1.0,12.0,Wednesday
2005-01-13,1.3254,1.3268,1.311,1.3112,2005.0,1.0,13.0,Thursday
2005-01-14,1.3117,1.3138,1.3058,1.3112,2005.0,1.0,14.0,Friday
